Nom de la région	Numéro de la circonscription	Nom de la circonscription	Dernière date de mise à jour au format ISO 8601	Résultats finaux	Nombre de bureaux complétés	Nombre total de bureaux	Nombre de votes valides	Nombre de votes rejetés	Nombre de votes exercés	Nombre d'électeurs inscrits	Taux de vote valide	Taux de vote rejeté	Taux de participation
05-Estrie	116	Sherbrooke	2018-10-17T10:10:42,609-04:00	true	170	170	35932	476	36408	50912	98.69	1.31	71.51
06-Montréal	338	Acadie	2018-10-17T10:10:42,609-04:00	true	162	162	26591	406	26997	49838	98.5	1.5	54.17
06-Montréal	366	Anjou-Louis-Riel	2018-10-17T10:10:42,609-04:00	true	137	137	27654	505	28159	43666	98.21	1.79	64.49
06-Montréal	360	Bourassa-Sauvé	2018-10-17T10:10:42,609-04:00	true	164	164	24817	666	25483	48592	97.39	2.61	52.44
06-Montréal	370	Bourget	2018-10-17T10:10:42,609-04:00	true	165	165	32178	594	32772	50481	98.19	1.81	64.92
06-Montréal	320	D'Arcy-McGee	2018-10-17T10:10:42,609-04:00	true	181	181	25681	265	25946	55726	98.98	1.02	46.56
06-Montréal	346	Gouin	2018-10-17T10:10:42,609-04:00	true	142	142	30399	370	30769	44196	98.8	1.2	69.62
06-Montréal	352	Hochelaga-Maisonneuve	2018-10-17T10:10:42,609-04:00	true	144	144	26752	467	27219	42934	98.28	1.72	63.4
06-Montréal	310	Jacques-Cartier	2018-10-17T10:10:42,609-04:00	true	150	150	29431	186	29617	45490	99.37	0.63	65.11
06-Montréal	364	Jeanne-Mance-Viger	2018-10-17T10:10:42,609-04:00	true	158	158	27464	538	28002	50660	98.08	1.92	55.27
06-Montréal	390	LaFontaine	2018-10-17T10:10:42,609-04:00	true	141	141	24643	493	25136	42584	98.04	1.96	59.03
06-Montréal	344	Laurier-Dorion	2018-10-17T10:10:42,609-04:00	true	161	161	30091	375	30466	47910	98.77	1.23	63.59
06-Montréal	304	Marguerite-Bourgeoys	2018-10-17T10:10:42,609-04:00	true	173	173	28773	514	29287	53442	98.24	1.76	54.8
06-Montréal	306	Marquette	2018-10-17T10:10:42,609-04:00	true	147	147	27494	366	27860	46740	98.69	1.31	59.61
06-Montréal	340	Maurice-Richard	2018-10-17T10:10:42,609-04:00	true	157	157	32048	486	32534	47407	98.51	1.49	68.63
06-Montréal	350	Mercier	2018-10-17T10:10:42,609-04:00	true	154	154	29210	322	29532	45048	98.91	1.09	65.56
06-Montréal	336	Mont-Royal-Outremont	2018-10-17T10:10:42,609-04:00	true	196	196	31216	347	31563	56659	98.9	1.1	55.71
06-Montréal	312	Nelligan	2018-10-17T10:10:42,609-04:00	true	181	181	34429	274	34703	58249	99.21	0.79	59.58
06-Montréal	324	Notre-Dame-de-Grâce	2018-10-17T10:10:42,609-04:00	true	159	159	26742	249	26991	48076	99.08	0.92	56.14
06-Montréal	380	Pointe-aux-Trembles	2018-10-17T10:10:42,609-04:00	true	142	142	27156	592	27748	41148	97.87	2.13	67.43
06-Montréal	316	Robert-Baldwin	2018-10-17T10:10:42,609-04:00	true	173	173	30365	257	30622	55075	99.16	0.84	55.6
06-Montréal	356	Rosemont	2018-10-17T10:10:42,609-04:00	true	178	178	36653	542	37195	53596	98.54	1.46	69.4
06-Montréal	326	Saint-Henri-Sainte-Anne	2018-10-17T10:10:42,609-04:00	true	189	189	31102	597	31699	55994	98.12	1.88	56.61
